Order_ID,Order_Date,Customer_Name,Category,Product,Region,Quantity,Unit_Price,Sales,Profit
1001,2026-01-05,Arun,Electronics,Laptop,South,1,55000,55000,6500
1002,2026-01-08,Divya,Furniture,Chair,North,4,2500,10000,1800
1003,2026-01-12,Kavin,Electronics,Headphones,East,3,1800,5400,900
1004,2026-01-15,Meena,Clothing,T-Shirt,West,5,700,3500,700
1005,2026-01-20,Ravi,Electronics,Mobile,South,2,22000,44000,5000
1006,2026-01-25,Priya,Furniture,Table,North,2,6500,13000,2400
1007,2026-02-02,Suresh,Clothing,Jeans,East,3,1500,4500,900
1008,2026-02-07,Anitha,Electronics,Keyboard,West,4,1200,4800,800
1009,2026-02-14,Vijay,Furniture,Sofa,South,1,18000,18000,3000
1010,2026-02-18,Keerthi,Clothing,Jacket,North,2,2800,5600,1200
1011,2026-02-22,Manoj,Electronics,Monitor,East,2,12000,24000,3500
1012,2026-03-01,Lakshmi,Furniture,Desk,West,2,7500,15000,2800
1013,2026-03-06,Ajay,Clothing,Shoes,South,3,2200,6600,1300
1014,2026-03-10,Sneha,Electronics,Tablet,North,1,18000,18000,2500
1015,2026-03-15,Rahul,Furniture,Bed,East,1,25000,25000,4000
1016,2026-03-20,Pooja,Clothing,Saree,West,2,3200,6400,1400
1017,2026-04-03,Santhosh,Electronics,Laptop,South,2,55000,110000,13000
1018,2026-04-09,Harini,Furniture,Chair,North,6,2500,15000,2700
1019,2026-04-14,Gokul,Electronics,Headphones,East,5,1800,9000,1500
1020,2026-04-21,Swetha,Clothing,T-Shirt,West,8,700,5600,1100
1021,2026-05-02,Dinesh,Electronics,Mobile,South,3,22000,66000,7500
1022,2026-05-08,Janani,Furniture,Table,North,3,6500,19500,3600
1023,2026-05-15,Prakash,Clothing,Jeans,East,4,1500,6000,1200
1024,2026-05-20,Deepa,Electronics,Keyboard,West,6,1200,7200,1200
1025,2026-06-05,Bala,Furniture,Sofa,South,2,18000,36000,6000
1026,2026-06-12,Nandhini,Clothing,Jacket,North,3,2800,8400,1800
1027,2026-06-18,Surya,Electronics,Monitor,East,3,12000,36000,5250
1028,2026-06-25,Divya,Furniture,Desk,West,4,7500,30000,5600
1029,2026-07-04,Karthik,Clothing,Shoes,South,5,2200,11000,2200
1030,2026-07-10,Shalini,Electronics,Tablet,North,2,18000,36000,5000
